,userId,date,window,desc,data,explanation,explain_id,Algorithm,mID,imdbClicked,rating
18,259,2020-04-20T21:13:03,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:550:0:3,,0,AE,550,0,3
19,259,2020-04-20T21:13:03,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:489:0:5,,0,AE,489,0,5
20,259,2020-04-20T21:13:03,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:745:0:5,,0,popular,745,0,5
23,259,2020-04-20T21:13:34,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:27205:0:2,,0,MF,27205,0,2
24,259,2020-04-20T21:13:34,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:152532:0:5,,0,popular,152532,0,5
25,259,2020-04-20T21:13:34,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:155:0:1,,0,MF,155,0,1
19,203,2020-04-19T20:22:07,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:100402:1:3,,0,AE,100402,1,3
20,203,2020-04-19T20:22:07,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:109445:0:4,,0,popular,109445,0,4
21,203,2020-04-19T20:22:07,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:24428:1:5,,0,AE,24428,1,5
24,203,2020-04-19T20:22:14,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:122:1:5,,0,popular,122,1,5
25,203,2020-04-19T20:22:14,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:76341:0:2,,0,MF,76341,0,2
26,203,2020-04-19T20:22:14,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:27205:0:5,,0,MF,27205,0,5
19,204,2020-04-19T20:32:00,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:1771:1:5,,0,AE,1771,1,5
20,204,2020-04-19T20:32:00,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:24428:0:5,,0,AE,24428,0,5
21,204,2020-04-19T20:32:00,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:152601:1:2,,0,popular,152601,1,2
25,204,2020-04-19T20:32:08,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:7345:1:3,,0,popular,7345,1,3
26,204,2020-04-19T20:32:08,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:76341:1:4,,0,MF,76341,1,4
27,204,2020-04-19T20:32:08,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:27205:0:2,,0,MF,27205,0,2
18,205,2020-04-19T21:04:16,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:6557:0:5,,0,AE,6557,0,5
19,205,2020-04-19T21:04:16,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:106646:0:5,,0,popular,106646,0,5
20,205,2020-04-19T21:04:16,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:4688:0:5,,0,AE,4688,0,5
23,205,2020-04-19T21:04:20,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:8835:0:5,,0,MF,8835,0,5
24,205,2020-04-19T21:04:20,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:11324:0:5,,0,popular,11324,0,5
25,205,2020-04-19T21:04:20,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:5,,0,MF,9880,0,5
18,206,2020-04-20T08:14:20,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:155:0:5,,0,AE,155,0,5
19,206,2020-04-20T08:14:20,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:38757:0:3,,0,popular,38757,0,3
20,206,2020-04-20T08:14:20,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:27205:0:3,,0,AE,27205,0,3
23,206,2020-04-20T08:14:35,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:293660:0:5,,0,MF,293660,0,5
24,206,2020-04-20T08:14:35,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:111969:0:1,,0,MF,111969,0,1
25,206,2020-04-20T08:14:35,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:18:0:1,,0,popular,18,0,1
18,207,2020-04-20T08:23:06,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:190859:0:3,,0,popular,190859,0,3
19,207,2020-04-20T08:23:06,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:27205:0:4,,0,AE,27205,0,4
20,207,2020-04-20T08:23:06,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:6557:0:5,,0,AE,6557,0,5
23,207,2020-04-20T08:23:28,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:222935:0:4,,0,popular,222935,0,4
24,207,2020-04-20T08:23:28,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9655:0:4,,0,MF,9655,0,4
25,207,2020-04-20T08:23:28,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:1:4,,0,MF,50619,1,4
18,208,2020-04-20T09:28:48,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:283995:0:3,,0,popular,283995,0,3
19,208,2020-04-20T09:28:48,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:205596:0:4,,0,AE,205596,0,4
20,208,2020-04-20T09:28:48,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:27205:0:5,,0,AE,27205,0,5
23,208,2020-04-20T09:29:00,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:155:0:5,,0,MF,155,0,5
24,208,2020-04-20T09:29:00,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:550:0:5,,0,MF,550,0,5
25,208,2020-04-20T09:29:00,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:10193:0:2,,0,popular,10193,0,2
18,209,2020-04-20T10:39:46,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:155:0:5,,0,AE,155,0,5
19,209,2020-04-20T10:39:46,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:137106:0:3,,0,popular,137106,0,3
20,209,2020-04-20T10:39:46,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:603:0:4,,0,AE,603,0,4
23,209,2020-04-20T10:39:54,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:306819:0:1,,0,MF,306819,0,1
24,209,2020-04-20T10:39:54,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:329865:0:1,,0,MF,329865,0,1
25,209,2020-04-20T10:39:54,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:22:0:3,,0,popular,22,0,3
18,211,2020-04-20T12:28:49,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:155:0:5,,0,AE,155,0,5
19,211,2020-04-20T12:28:49,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:857:0:5,,0,AE,857,0,5
20,211,2020-04-20T12:28:49,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:1422:0:5,,0,popular,1422,0,5
23,211,2020-04-20T12:28:56,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:19995:0:3,,0,popular,19995,0,3
24,211,2020-04-20T12:28:56,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:70160:0:3,,0,MF,70160,0,3
