,userId,date,window,desc,data,explanation,Algorithm,mID,explain_id,imdbClicked,explain_rate
58,259,2020-04-20T21:20:42,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:857:7:0:5,Our system predicts that this movie is a good match for you., AE,857,7,0,5
59,259,2020-04-20T21:20:42,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:857:5:0:4,"You liked ""The Sixth Sense"". Other users who liked The Sixth Sense", AE,857,5,0,4
60,259,2020-04-20T21:20:42,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:857:2:0:3,"This movie is similar to ""Catch Me If You Can""- a movie that you liked. Both feature Tom Hanks as an actor. Both are of the genre drama. Both have the same director Steven Spielberg.", AE,857,2,0,3
61,259,2020-04-20T21:20:42,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:857:3:0:5,Tom Hanks plays in this movie, AE,857,3,0,5
63,259,2020-04-20T21:21:19,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:453:5:0:2,"You liked ""Catch Me If You Can"". Other users who liked Catch Me If You Can", AE,453,5,0,2
64,259,2020-04-20T21:21:19,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:453:7:0:5,Our system predicts that this movie is a good match for you., AE,453,7,0,5
66,259,2020-04-20T21:22:15,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:68718:5:0:4,"You liked ""Inglourious Basterds"". Other users who liked Inglourious Basterds", AE,68718,5,0,4
67,259,2020-04-20T21:22:15,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:68718:2:0:5,"This movie is similar to ""Inglourious Basterds""- a movie that you liked. Both feature Christoph Waltz as an actor. Both are of the genre drama. Both have the same director Quentin Tarantino.", AE,68718,2,0,5
68,259,2020-04-20T21:22:15,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:68718:7:0:5,Our system predicts that this movie is a good match for you., AE,68718,7,0,5
69,259,2020-04-20T21:22:15,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:68718:1:0:1,This movie is very popular, AE,68718,1,0,1
71,259,2020-04-20T21:22:50,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:550:2:0:1,"This movie is similar to ""Inglourious Basterds""- a movie that you liked. Both feature Brad Pitt as an actor. Both are of the genre drama.", MF,550,2,0,1
72,259,2020-04-20T21:22:50,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:550:5:0:1,"You liked ""The Sixth Sense"". Other users who liked The Sixth Sense", MF,550,5,0,1
73,259,2020-04-20T21:22:50,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:550:7:0:3,Our system predicts that this movie is a good match for you., MF,550,7,0,3
74,259,2020-04-20T21:22:50,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:550:1:0:1,This movie is very popular, MF,550,1,0,1
59,203,2020-04-19T20:23:55,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:177572:7:0:4,, AE,177572,7,0,4
62,203,2020-04-19T20:24:07,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:118340:5:0:4,, AE,118340,5,0,4
63,203,2020-04-19T20:24:07,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:118340:2:0:2,, AE,118340,2,0,2
64,203,2020-04-19T20:24:07,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:118340:7:0:2,, AE,118340,7,0,2
65,203,2020-04-19T20:24:07,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:118340:1:0:5,, AE,118340,1,0,5
68,203,2020-04-19T20:24:22,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:100402:3:0:4,, AE,100402,3,0,4
69,203,2020-04-19T20:24:22,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:100402:2:0:3,, AE,100402,2,0,3
70,203,2020-04-19T20:24:22,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:100402:4:0:2,, AE,100402,4,0,2
71,203,2020-04-19T20:24:22,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:100402:7:0:4,, AE,100402,7,0,4
72,203,2020-04-19T20:24:22,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:100402:5:0:5,, AE,100402,5,0,5
77,203,2020-04-19T20:24:51,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:293660:4:1:4,, MF,293660,4,1,4
78,203,2020-04-19T20:24:51,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:293660:7:1:2,, MF,293660,7,1,2
82,203,2020-04-19T20:25:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:76341:2:1:2,, MF,76341,2,1,2
83,203,2020-04-19T20:25:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:76341:7:1:5,, MF,76341,7,1,5
